COD_GEO;REG
92004;11
92007;11
92009;11
92012;11
92014;11
92019;11
92020;11
92022;11
92023;11
92024;11
92025;11
92026;11
92032;11
92033;11
92035;11
92036;11
92040;11
92044;11
92046;11
92047;11
92048;11
92049;11
92050;11
92051;11
92060;11
92062;11
92063;11
92064;11
92071;11
92072;11
92073;11
92075;11
92076;11
92077;11
92078;11
93001;11
93005;11
93006;11
93007;11
93008;11
93010;11
93013;11
93014;11
93015;11
93027;11
93029;11
93030;11
93031;11
93032;11
93033;11
93039;11
93045;11
93046;11
93047;11
93048;11
93049;11
93050;11
93051;11
93053;11
93055;11
93057;11
93059;11
93061;11
93062;11
93063;11
93064;11
93066;11
93070;11
93071;11
93072;11
93073;11
93074;11
93077;11
93078;11
93079;11
94001;11
94002;11
94003;11
94004;11
94011;11
94015;11
94016;11
94017;11
94018;11
94019;11
94021;11
94022;11
94028;11
94033;11
94034;11
94037;11
94038;11
94041;11
94042;11
94043;11
94044;11
94046;11
94047;11
94048;11
94052;11
94053;11
94054;11
94055;11
94056;11
94058;11
94059;11
94060;11
94065;11
94067;11
94068;11
94069;11
94070;11
94071;11
94073;11
94074;11
94075;11
94076;11
94077;11
94078;11
94079;11
94080;11
94081;11
95002;11
95008;11
95011;11
95012;11
95014;11
95018;11
95019;11
95023;11
95024;11
95026;11
95028;11
95039;11
95040;11
95042;11
95046;11
95051;11
95052;11
95054;11
95055;11
95056;11
95058;11
95059;11
95060;11
95061;11
95063;11
95074;11
95078;11
95088;11
95091;11
95094;11
95101;11
95102;11
95110;11
95116;11
95119;11
95120;11
95127;11
95134;11
95139;11
95141;11
95142;11
95144;11
95149;11
95150;11
95151;11
95154;11
95157;11
95166;11
95169;11
95170;11
95176;11
95177;11
95181;11
95183;11
95197;11
95199;11
95203;11
95205;11
95210;11
95211;11
95212;11
95213;11
95214;11
95218;11
95219;11
95229;11
95241;11
95250;11
95252;11
95253;11
95254;11
95256;11
95257;11
95258;11
95268;11
95270;11
95271;11
95277;11
95280;11
95282;11
95287;11
95288;11
95295;11
95298;11
95301;11
95303;11
95304;11
95306;11
95308;11
95309;11
95313;11
95316;11
95323;11
95328;11
95331;11
95341;11
95348;11
95351;11
95352;11
95353;11
95355;11
95365;11
95369;11
95370;11
95371;11
95379;11
95387;11
95388;11
95392;11
95394;11
95395;11
95409;11
95422;11
95424;11
95426;11
95427;11
95428;11
95429;11
95430;11
95436;11
95438;11
95445;11
95446;11
95447;11
95450;11
95452;11
95456;11
95459;11
95462;11
95476;11
95480;11
95483;11
95487;11
95488;11
95489;11
95491;11
95492;11
95493;11
95500;11
95504;11
95509;11
95510;11
95523;11
95527;11
95529;11
95535;11
95539;11
95541;11
95543;11
95554;11
95555;11
95563;11
95566;11
95572;11
95574;11
95580;11
95582;11
95584;11
95585;11
95592;11
95594;11
95598;11
95604;11
95607;11
95610;
95611;
95612;
95625;
95627;
95628;
95633;
95637;
95641;
95651;
95652;
95656;
95658;
95660;
95675;
95676;
95678;
95680;
95682;
95690;
